group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	2312.6669235288928	2655.589183279897	3983.512805704304	3174.9703290428633	4787.24793407129	5435.86597742707	9456.486927994052	13660.764626993663	17772.930054073156	21601.77484145046	24163.68617664776	23243.83720102741	25971.732113173803
bubble_sort	2410.1691727027533	2751.258637347427	4145.556830550994	3287.759712670886	4984.083521734931	5666.611531601174	9995.87714647118	14667.57111519422	19335.308703747425	23890.207659813666	27058.667076958547	25771.339805841068	29072.059027675026
dijkstra	2453.1632732913063	2792.3933048487775	4183.6961863135	3339.999776211051	5029.639734902255	5709.5648829302345	9993.877100396341	14537.605885617852	19018.41397294404	23347.487677837766	26232.237328735395	25120.238760650525	28201.91539832374
kalman	2855.187929865307	3191.9112383595657	4363.954873096587	3826.0120873303777	5871.721292179497	6669.252189307045	11871.656859012714	15295.012315594982	20004.879545515996	22822.770230834634	25654.951866304218	24619.587050898946	27671.020663229705
mat_mul	2430.9677661848195	2777.745573789455	4107.6694223113145	3333.1478216536425	5033.817721911414	5719.025254640769	10012.737242144449	14193.109692177795	18505.647475651345	21849.221091345597	24519.895932508196	23509.824307342424	26378.877159654778
pointer_chase	2441.6981378580504	2787.963504965969	4085.686330315573	3325.9354650082096	5041.318979273305	5729.339980514389	10116.192851521153	14270.116816445918	18775.413413071095	22453.551525969226	25354.96916176602	24216.114249383365	27324.98735333661
recursion	2115.4693521665813	2460.6481166198705	3684.0513648202846	2937.408993482806	4415.883376077554	5016.995525045291	8704.620776076943	12709.073492154235	16734.009002507428	20702.126799261	23375.82870876131	22306.666356766702	25160.140183423155
rsa_dec	2268.2413806316176	2613.2004513807346	3919.1755630823773	3124.942539142366	4709.140258931033	5347.350605956524	9301.457052624562	13474.629115619671	17543.010158605153	21402.19791443365	23955.230400088672	23000.59821601839	25730.62756574644
rsa_enc	2204.2888631535793	2548.4837379451	3819.806534226319	3045.6478103600834	4583.225656278751	5203.959902925864	9025.4048630991	13080.78821579289	17096.526662270924	20900.23190933941	23441.758960086914	22464.447722155248	25160.510472484006
sine	2462.120283375437	2803.1672174428822	4185.14122121291	3351.20126946863	5084.640093875793	5778.117594348717	10208.58763591249	14775.134556718074	19453.754531372946	23784.74306222474	26863.140329738897	25621.76222158977	28912.03632555809
