group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.02518	0.02526	0.01564	0.02522	0.01564	0.0136	0.00688	0.00466	0.00356	0.0029	0.0026	0.0029	0.0026
bubble_sort	0.579	0.58	0.358	0.58	0.357	0.309	0.155	0.103	0.078	0.062	0.055	0.062	0.055
dijkstra	0.04648	0.04652	0.02876	0.04656	0.02876	0.02496	0.01256	0.00844	0.00638	0.00518	0.0046	0.00518	0.00458
kalman	0.09268	0.0927	0.07014	0.09274	0.0572	0.04954	0.0249	0.0204	0.01538	0.0146	0.01292	0.0146	0.01292
mat_mul	0.03152	0.03158	0.0201	0.0316	0.01958	0.01696	0.00856	0.00592	0.0045	0.00392	0.00348	0.00392	0.0035
pointer_chase	0.36406	0.3642	0.24296	0.36426	0.22422	0.19444	0.09732	0.07026	0.05274	0.04562	0.04024	0.04554	0.0402
recursion	0.272	0.27212	0.16756	0.2722	0.1676	0.14524	0.07278	0.04858	0.03646	0.02926	0.02584	0.02928	0.02584
rsa_dec	0.0265	0.02654	0.01644	0.02656	0.01642	0.0143	0.00724	0.00488	0.0037	0.00304	0.0027	0.00304	0.0027
rsa_enc	0.03396	0.03398	0.02102	0.03398	0.02104	0.01826	0.0092	0.00622	0.00472	0.00382	0.0034	0.00382	0.00342
sine	0.29898	0.29904	0.18934	0.29922	0.18436	0.15962	0.08004	0.05472	0.04122	0.03394	0.02998	0.03388	0.03
