group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.0179	0.01798	0.01116	0.01798	0.01118	0.00968	0.00492	0.00334	0.00256	0.0021	0.00188	0.0021	0.00188
bubble_sort	0.397	0.397	0.245	0.397	0.245	0.212	0.106	0.071	0.053	0.043	0.038	0.043	0.038
dijkstra	0.03496	0.03502	0.02166	0.03506	0.02166	0.01882	0.0095	0.00638	0.00482	0.0039	0.0035	0.0039	0.00348
kalman	0.07696	0.07708	0.05068	0.07704	0.0476	0.04124	0.02076	0.01476	0.01114	0.00948	0.0085	0.00948	0.00838
mat_mul	0.02288	0.02292	0.01422	0.02292	0.01422	0.01232	0.00626	0.00422	0.00322	0.00262	0.00232	0.00262	0.00234
pointer_chase	0.30328	0.30328	0.20546	0.3034	0.18696	0.16194	0.0811	0.05948	0.0447	0.03906	0.03452	0.03904	0.0345
recursion	0.20588	0.20594	0.1269	0.20612	0.12694	0.11008	0.05516	0.03676	0.0276	0.02218	0.01962	0.02214	0.01958
rsa_dec	0.02318	0.02324	0.01442	0.02324	0.0144	0.0125	0.00634	0.00428	0.00326	0.00264	0.00236	0.00264	0.00236
rsa_enc	0.02548	0.02554	0.01582	0.02554	0.01582	0.01372	0.00696	0.00468	0.00358	0.0029	0.00258	0.0029	0.0026
sine	0.21632	0.21632	0.1384	0.21634	0.1332	0.11558	0.05788	0.04006	0.03012	0.02508	0.02214	0.02502	0.02214
