group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.017824800000000005	0.017889200000000004	0.0125098	0.017904999999999997	0.011070400000000001	0.0096112	0.004880000000000001	0.003725600000000001	0.0028418000000000002	0.0026902000000000002	0.002397	0.0026922	0.0023998
bubble_sort	0.39670000000000005	0.3966	0.3008	0.3970000000000001	0.24450000000000002	0.21200000000000002	0.1058	0.087	0.06540000000000001	0.0603	0.053200000000000004	0.06040000000000001	0.0533
dijkstra	0.0348488	0.03490019999999999	0.027576200000000002	0.034959199999999996	0.021548599999999998	0.018700599999999998	0.0094128	0.008066199999999999	0.006089399999999999	0.005652999999999999	0.005011399999999999	0.005655199999999999	0.0050178
kalman	0.076019	0.076076	0.05461979999999999	0.0761714	0.046891999999999996	0.040657399999999996	0.0203742	0.015884999999999996	0.0119572	0.0114072	0.0100906	0.0114144	0.0100898
mat_mul	0.022765200000000006	0.022823600000000003	0.0174522	0.0228488	0.0141032	0.012247400000000002	0.006194799999999998	0.005150200000000001	0.0039048000000000004	0.004030600000000001	0.0035819999999999997	0.004034600000000002	0.0035817999999999996
pointer_chase	0.3029873333333333	0.30303666666666673	0.27993266666666666	0.30341000000000007	0.18662466666666663	0.161738	0.08087533333333334	0.08088733333333334	0.06069733333333333	0.067996	0.060051999999999994	0.06804066666666667	0.06003533333333333
recursion	0.20572199999999993	0.20578200000000002	0.1538846666666667	0.20582	0.12678399999999998	0.10987266666666666	0.05494333333333334	0.0445	0.03342733333333333	0.029818666666666663	0.026339999999999995	0.029818000000000004	0.02635
rsa_dec	0.023083200000000005	0.023142199999999998	0.0164738	0.0231434	0.014303000000000003	0.0124188	0.0062764000000000006	0.0048658	0.0036959999999999996	0.0033659999999999996	0.0029958000000000007	0.0033718	0.0029936000000000003
rsa_enc	0.0253556	0.0254146	0.0186978	0.025408200000000006	0.015699599999999998	0.0136338	0.0068894	0.0055109999999999985	0.004181	0.0037428000000000006	0.003328000000000001	0.0037428	0.0033276
sine	0.21600200000000003	0.216138	0.15847	0.21628499999999998	0.13312	0.11536700000000003	0.057667	0.045856999999999995	0.034435	0.035512	0.03136	0.035503999999999994	0.031359
