group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.0178318	0.0178944	0.011087200000000002	0.017895800000000003	0.0110716	0.0096146	0.004883800000000001	0.0033166000000000003	0.0025352	0.0020895999999999996	0.0018716	0.0020937999999999994	0.0018744
bubble_sort	0.3963	0.3967	0.24500000000000002	0.3968000000000001	0.24450000000000002	0.2116	0.1059	0.0703	0.053200000000000004	0.042499999999999996	0.03749999999999999	0.042499999999999996	0.0377
dijkstra	0.035058	0.0351162	0.021684600000000002	0.0351242	0.021678199999999998	0.018800800000000003	0.00947	0.006367000000000001	0.004816399999999999	0.003910800000000001	0.0034746	0.0039178	0.0034781999999999994
kalman	0.08781480000000003	0.08791800000000002	0.067057	0.08794720000000002	0.05415039999999999	0.0469358	0.0235188	0.019471	0.014654400000000001	0.014020600000000001	0.012396399999999998	0.014021600000000002	0.0123976
mat_mul	0.022806800000000002	0.022864799999999998	0.0146714	0.022881	0.014136	0.012270599999999998	0.006216	0.0043496	0.003312400000000001	0.0029564000000000005	0.002632799999999999	0.0029574000000000002	0.002634599999999999
pointer_chase	0.3030333333333334	0.30305466666666675	0.20529933333333336	0.3031473333333333	0.18664333333333336	0.16175199999999998	0.08095866666666668	0.059366	0.044565999999999995	0.03895533333333334	0.034429999999999995	0.03897533333333334	0.034421999999999994
recursion	0.2057086666666667	0.20575799999999997	0.12663600000000003	0.20582466666666668	0.12673933333333334	0.10986266666666666	0.05497866666666667	0.036682	0.027561333333333334	0.02211133333333333	0.01952666666666666	0.02211133333333333	0.019530666666666665
rsa_dec	0.0230826	0.0231414	0.014303800000000002	0.023141600000000002	0.014306799999999998	0.012419799999999998	0.0062786	0.004244	0.0032245999999999998	0.0026379999999999997	0.0023514000000000005	0.0026401999999999997	0.0023538000000000005
rsa_enc	0.025353799999999996	0.025412599999999997	0.0157078	0.025408600000000003	0.015705000000000004	0.0136292	0.0068884	0.004654999999999999	0.003538800000000001	0.002886	0.0025718000000000004	0.0028885999999999994	0.0025764
sine	0.21604199999999998	0.21610800000000002	0.13822299999999998	0.21618800000000005	0.13310300000000003	0.115358	0.057764	0.040002	0.030059000000000002	0.024993	0.022102	0.025000999999999995	0.022087000000000002
