group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.03884	0.03886	0.02402	0.03892	0.02406	0.02086	0.01052	0.0071	0.00538	0.00436	0.00386	0.00436	0.00386
bubble_sort	0.898	0.898	0.552	0.898	0.553	0.479	0.24	0.16	0.12	0.096	0.085	0.096	0.085
dijkstra	0.07416	0.07422	0.04572	0.07426	0.04582	0.03974	0.01996	0.01338	0.01008	0.00814	0.0072	0.00812	0.0072
kalman	0.10826	0.1083	0.07976	0.10838	0.06682	0.05788	0.02906	0.02316	0.01742	0.0163	0.0144	0.01628	0.0144
mat_mul	0.04878	0.0488	0.03064	0.04884	0.03014	0.0262	0.01316	0.00902	0.0068	0.00576	0.00512	0.00576	0.00512
pointer_chase	0.54604	0.546	0.33606	0.54626	0.33638	0.29148	0.14596	0.09726	0.07302	0.05848	0.05168	0.0585	0.05168
recursion	0.39722	0.39704	0.24432	0.39724	0.24454	0.21196	0.1061	0.07076	0.0531	0.04262	0.03762	0.04258	0.0376
rsa_dec	0.03282	0.03288	0.02032	0.0329	0.02038	0.01766	0.00892	0.00602	0.00456	0.0037	0.0033	0.00372	0.0033
rsa_enc	0.04686	0.0469	0.02896	0.04692	0.029	0.02512	0.01268	0.00852	0.00644	0.00522	0.00464	0.00522	0.00462
sine	0.46456	0.46444	0.28594	0.46456	0.28604	0.24806	0.12398	0.08274	0.0621	0.04972	0.044	0.04976	0.04396
