group	16_no_PLL	16	26	30	60	90	120	150	170
FFT	-1.172	-1.168	-1.16	-1.158	-1.14	-1.127	-1.103	-1.092	-1.076
bubble_sort	-1.262	-1.261	-1.261	-1.262	-1.266	-1.256	-1.253	-1.255	-1.253
dijkstra	-1.123	-1.122	-1.119	-1.118	-1.11	-1.101	-1.093	-1.082	-1.077
kalman	-0.415	-0.406	-0.405	-0.405	-0.404	-0.571	-0.568	-0.72	-0.719
mat_mul	-1.137	-1.135	-1.128	-1.128	-1.116	-1.138	-1.123	-1.208	-1.204
pointer_chase	-0.8	-0.801	-0.8	-0.8	-0.801	-0.636	-0.635	-0.499	-0.499
recursion	-0.929	-0.928	-0.928	-0.927	-0.927	-0.926	-0.923	-0.922	-0.921
rsa_dec	-0.418	-0.416	-0.415	-0.414	-0.409	-0.406	-0.4	-0.403	-0.398
rsa_enc	-0.844	-0.842	-0.839	-0.836	-0.828	-0.82	-0.809	-0.805	-0.798
sine	-1.148	-1.148	-1.148	-1.146	-1.146	-1.066	-1.063	-0.989	-0.988
