group	16	26	30	60	90	120	150	170
FFT	-0.156	-0.155	-0.157	-0.16	-0.165	-0.167	-0.168	-0.172
bubble_sort	-0.114	-0.115	-0.116	-0.116	-0.109	-0.113	-0.116	-0.12
dijkstra	-0.158	-0.158	-0.158	-0.157	-0.155	-0.154	-0.15	-0.149
kalman	-0.02	-0.02	-0.021	-0.02	-0.018	-0.017	-0.015	-0.015
mat_mul	-0.014	-0.014	-0.015	-0.016	-0.015	-0.018	-0.017	-0.02
recursion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rsa_dec	-0.072	-0.072	-0.072	-0.072	-0.071	-0.071	-0.073	-0.071
rsa_enc	-0.066	-0.067	-0.065	-0.064	-0.063	-0.062	-0.061	-0.059
sine	-0.076	-0.077	-0.076	-0.077	-0.073	-0.075	-0.071	-0.071
