	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
intensity	2913.9091010109532	4383.670522811565	3482.9839070638022	5229.71025762711	5929.871303279226	10121.480156393613	14000.181424415718	17790.368262757645	21364.337519595498	23613.368763643153	22713.88127253606	24705.31463623047
runtime	0.00602	0.00376	0.006	0.00374	0.00328	0.0017	0.00118	0.00094	0.00076	0.00068	0.00078	0.0007
timestamp	(3113.42, 3119.44)	(4045.86, 4049.62)	(4967.14, 4973.14)	(5898.82, 5902.56)	(6814.7, 6817.98)	(7729.22, 7730.92)	(8633.48, 8634.66)	(9534.76, 9535.7)	(10435.86, 10436.62)	(11336.14, 11336.82)	(12235.1, 12235.88)	(13134.7, 13135.4)
energy	17.541732788085938	16.482601165771484	25.077484130859375	23.47093963623047	23.339973449707028	20.647819519042965	19.824256896972656	20.06753540039062	19.484275817871094	19.268508911132812	22.6775390625	22.1359619140625
