unit	8_no_PLL	16	24	48	72
minI	4097.747090372607	7852.875784541784	11596.765652508802	23208.789611130618	34353.30431000525
maxI	4148.467248227416	7931.970031966877	12003.079266615317	23392.237974016854	34844.66296284139
avrgI	4121.405161792835	7874.372899439896	11917.682938078458	23295.24374822432	34548.101345030205
minD	1.07	0.533	0.355	0.177	0.119
maxD	1.071	0.535	0.356	0.178	0.119
avrgD	1.0707799999999998	0.5339999999999999	0.35548	0.17788	0.11899999999999998
minE	13166.061401367188	12559.112548828127	12350.555419921873	12374.77111816406	12264.129638671875
maxE	13329.02526855469	12707.015991210938	12800.811767578125	12491.455078125002	12439.544677734375
avrgE	13239.35474395752	12614.745483398438	12709.470520019531	12431.256980895996	12333.672180175781
