	24	48	72
intensity	13105.0	23163.0	31151.0
runtime	0.14202	0.08287	0.06662
timestamp	(1252.01, 1394.03)	(2728.3, 2811.17)	(4074.7, 4141.32)
energy	6.142	6.334	6.848
