	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
intensity	3103.1253850671924	4280.43448406717	3785.218188591671	5680.1815479533025	6425.011774763604	11205.309435077335	14650.616847293477	19144.203132117174	21552.646861356847	24283.504486083984	23271.14858745057	26189.717840641104
runtime	0.22056	0.1564	0.22058	0.13582	0.1179	0.05888	0.04544	0.03396	0.034	0.03	0.03402	0.03008
timestamp	(2717.86, 2938.42)	(4620.98, 4777.38)	(6689.02, 6909.6)	(8567.58, 8703.4)	(10204.7, 10322.6)	(11570.86, 11629.74)	(12747.24, 12792.68)	(13849.44, 13883.4)	(14911.64, 14945.64)	(15954.8, 15984.8)	(17003.84, 17037.86)	(18046.58, 18076.66)
energy	684.4253349304199	669.4599533081055	1001.9321136474609	925.778709411621	909.0106658935547	791.7223434448242	798.8688354492188	780.1645660400391	879.3479919433594	874.2061614990233	1013.3561279296877	1008.3669921875
