	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
intensity	2605.460030691964	3911.1045461265894	3115.3057782191054	4668.36108113445	5299.376404803732	9215.30015526116	13353.685598733107	17644.053621014846	21801.766548447937	24754.350255986225	23591.131930020456	26597.51357592914
runtime	0.2205	0.1359	0.22058	0.13578	0.11776	0.05886	0.03924	0.02958	0.02358	0.02094	0.02364	0.02084
timestamp	(1437.38, 1657.88)	(3656.9, 3792.8)	(5410.64, 5631.22)	(7626.76, 7762.54)	(9335.98, 9453.74)	(10937.7, 10996.56)	(12185.64, 12224.88)	(13328.76, 13358.34)	(14410.62, 14434.2)	(15466.52, 15487.46)	(16503.42, 16527.06)	(17558.7, 17579.54)
energy	574.5039367675781	531.5191078186035	824.6089782714843	760.6440811157227	748.8654785156249	650.8950805664062	628.7983474731445	626.293327331543	616.9027862548828	622.0273132324219	713.848779296875	709.4939941406251
