unit	8_no_PLL	16	24	48	72
minI	4212.744442033179	8232.593290203924	12351.741347202034	24179.715888444767	35582.92300407958
maxI	4228.564446845663	8271.49980700545	12475.39179929936	24365.75089922603	36181.21479832849
avrgI	4220.245734350395	8243.42101306206	12417.620653947875	24268.040715589115	35794.73683048439
minD	3.887	1.937	1.289	0.644	0.43
maxD	3.889	1.939	1.29	0.645	0.431
avrgD	3.88795	1.9375500000000003	1.2892500000000002	0.6444	0.43010000000000004
minE	49137.45117187501	47839.599609375	47801.239013671875	46783.40148925781	45972.15270996094
maxE	49321.97570800781	48090.49987792969	48242.340087890625	47074.63073730469	46673.76708984375
avrgE	49224.31182861328	47916.12138748169	48028.24172973633	46914.939880371094	46185.9347820282
