group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.078	0.068	0.071	0.066	0.069	0.069	0.077	0.08	0.081	0.089	0.089	0.085	0.086
bubble_sort	0.087	0.077	0.079	0.071	0.075	0.075	0.084	0.077	0.085	0.085	0.083	0.082	0.085
dijkstra	0.088	0.077	0.08	0.073	0.079	0.079	0.087	0.087	0.088	0.091	0.091	0.091	0.092
kalman	-0.024	-0.022	0.047	-0.025	-0.034	-0.034	-0.031	0.055	0.058	0.108	0.11	0.107	0.107
mat_mul	0.034	0.029	0.049	0.017	0.021	0.022	0.026	0.058	0.062	0.108	0.11	0.106	0.105
pointer_chase	0.102	0.093	0.078	0.088	0.094	0.095	0.104	0.09	0.092	0.087	0.095	0.087	0.085
recursion	0.091	0.078	0.081	0.074	0.079	0.08	0.091	0.095	0.092	0.095	0.096	0.093	0.094
rsa_dec	0.082	0.07	0.073	0.066	0.07	0.071	0.08	0.081	0.083	0.09	0.09	0.085	0.087
rsa_enc	0.085	0.074	0.077	0.064	0.071	0.072	0.082	0.082	0.082	0.087	0.088	0.086	0.086
sine	0.091	0.079	0.077	0.07	0.077	0.078	0.087	0.087	0.087	0.087	0.088	0.088	0.086
