group	16_no_PLL	16	26	30	60	90	120	150	170
FFT	-0.156	-0.156	-0.154	-0.157	-0.159	-0.162	-0.164	-0.171	-0.181
bubble_sort	-0.116	-0.116	-0.114	-0.113	-0.113	-0.113	-0.132	-0.116	-0.105
dijkstra	-0.159	-0.158	-0.158	-0.157	-0.156	-0.157	-0.158	-0.164	-0.149
kalman	-0.163	-0.163	-0.162	-0.163	-0.158	-0.344	-0.343	-0.502	-0.482
mat_mul	-0.014	-0.017	-0.015	-0.018	-0.016	-0.057	-0.05	-0.16	-0.164
recursion	-0.001	0.0	-0.001	0.0	0.001	-0.001	-0.001	0.0	-0.002
rsa_dec	-0.072	-0.073	-0.071	-0.072	-0.069	-0.075	-0.074	-0.083	-0.076
rsa_enc	-0.066	-0.067	-0.064	-0.066	-0.063	-0.068	-0.061	-0.069	-0.07
sine	-0.076	-0.076	-0.077	-0.077	-0.076	-0.075	-0.074	-0.074	-0.073
