unit	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
minI	2525.1647382252436	2867.281485027224	4140.51857168816	3474.9733693718335	5190.786056617767	5877.099942376974	10185.647578466505	14039.112971379207	18205.07434883503	20811.416886069557	23259.22326196598	22462.128245897886	25063.988547655023
maxI	2529.9434984623667	2873.00540554908	4152.9359338490385	3481.642251621314	5204.577720602146	5893.150605767021	10241.103029536629	14182.262122631073	18452.26287841797	21158.261487712967	23625.241050237342	22754.94011965665	25449.558428138684
avrgI	2527.2902766789084	2870.2767930124437	4147.87214722133	3478.5535832721175	5197.133910609273	5883.746811568319	10218.427266685023	14082.932049799929	18272.42333986127	20928.103328576835	23414.58047456763	22559.27890338421	25224.527824513447
minD	0.02468	0.02476	0.01744	0.02476	0.01524	0.01324	0.00666	0.00512	0.0039	0.00352	0.00312	0.00352	0.00312
maxD	0.02486	0.0249	0.0176	0.02492	0.01542	0.0134	0.00678	0.00522	0.00396	0.0036	0.00322	0.0036	0.0032
avrgD	0.024747800000000007	0.0248076	0.0175036	0.0248202	0.015331000000000004	0.013314199999999998	0.006726599999999999	0.0051693999999999985	0.003926399999999999	0.0035543999999999997	0.0031610000000000006	0.0035570000000000003	0.0031621999999999996
minE	62.349910736083984	71.0306167602539	72.32248306274414	103.31572723388672	95.12743377685547	93.53366088867188	81.72102355957031	86.36293029785156	85.37216949462889	87.90742492675781	87.77725982666016	101.6669189453125	100.66188964843751
maxE	62.80389785766602	71.50285720825195	73.05004119873047	103.9976806640625	96.1713638305664	94.59619903564455	83.24265289306639	88.14051818847656	86.7282257080078	90.29413604736328	89.9681396484375	103.79709472656249	103.3146240234375
avrgE	62.54486980438232	71.20467853546143	72.60268115997314	103.6060629272461	95.6126806640625	94.00484985351562	82.48221176147462	87.360103225708	86.09342239379883	89.26363540649415	88.81544952392578	102.71104956054688	102.09828149414062
