unit	8_no_PLL	16	24	48	72
minI	4083.1996742507354	8010.754019721741	11987.470393806561	23374.446924181953	34573.562746125506
maxI	4118.183353641728	8043.972431070327	12114.829499257636	23690.9838690274	34944.07426374069
avrgI	4100.718124114913	8036.9654390876485	12058.25246505161	23544.448654891014	34700.94908782502
minD	3.33	1.659	1.105	0.552	0.368
maxD	3.337	1.661	1.106	0.553	0.369
avrgD	3.3313500000000005	1.6601	1.10505	0.5523	0.36879999999999996
minE	40803.4143447876	39917.587280273445	39738.46435546875	38708.08410644532	38270.05004882813
maxE	41140.65170288087	40083.114624023445	40160.65979003906	39232.26928710938	38683.09020996094
avrgE	40982.77287483215	40026.49383544922	39974.908447265625	39010.79177856445	38393.099212646484
