unit	8_no_PLL	16	24	48	72
minI	4222.97802921456	8106.870402205741	11965.991718389145	23991.316694268433	35422.3711737271
maxI	4272.145480145722	8257.235013521635	12409.906189105803	24213.790893554688	36260.46016298491
avrgI	4242.89138488459	8155.505042094643	12276.430042894292	24066.75171091158	35843.71707083165
minD	1.304	0.65	0.432	0.216	0.144
maxD	1.306	0.652	0.434	0.217	0.145
avrgD	1.30494	0.65054	0.43309999999999993	0.21657999999999997	0.14461999999999997
minE	16522.201538085938	15814.773559570314	15535.81237792969	15563.78173828125	15400.634765624998
maxE	16738.26599121094	16103.25622558594	16120.468139648438	15735.53466796875	15773.300170898436
avrgE	16610.157508850098	15916.442928314209	15950.765762329102	15637.070617675781	15551.034164428711
