	24	48	72
intensity	12020.0	22149.0	30617.0
runtime	0.13224	0.07198	0.05372
timestamp	(2650.68, 2782.92)	(4433.52, 4505.5)	(6136.64, 6190.36)
energy	5.245	5.261	5.428
