	24	48	72
intensity	12464.0	22098.0	29422.0
runtime	0.0162	0.00912	0.00722
timestamp	(1372.06, 1388.26)	(3225.74, 3234.86)	(4948.48, 4955.7)
energy	0.666	0.665	0.701
