	24	48	72
intensity	12457.0	21646.0	29400.0
runtime	0.01634	0.00918	0.00722
timestamp	(1904.58, 1920.92)	(3758.52, 3767.7)	(5481.04, 5488.26)
energy	0.672	0.656	0.7
