	24	48	72
intensity	11980.0	21350.0	29292.0
runtime	0.0169	0.00942	0.00718
timestamp	(1905.7, 1922.6)	(3696.4, 3705.82)	(5401.94, 5409.12)
energy	0.668	0.664	0.694
