	24	48	72
intensity	12442.0	22461.0	30252.0
runtime	0.12694	0.07084	0.05558
timestamp	(2116.14, 2243.08)	(3962.8, 4033.64)	(5683.5, 5739.08)
energy	5.212	5.251	5.549
