group	16_no_PLL	16	26	30	60	90	120	150	170
FFT	-0.001	-0.002	0.0	0.0	-0.004	-0.21	-0.211	-0.429	-0.426
bubble_sort	0.0	-0.003	0.0	0.0	0.0	-0.38	-0.377	-0.721	-0.711
dijkstra	0.0	-0.002	-0.001	0.0	0.004	-0.285	-0.282	-0.518	-0.503
kalman	0.01	0.008	0.011	0.012	0.013	-0.237	-0.23	-0.458	-0.438
mat_mul	0.0	-0.003	0.001	-0.002	0.003	-0.327	-0.317	-0.595	-0.603
pointer_chase	0.0	-0.002	0.001	0.0	0.0	-0.363	-0.362	-0.58	-0.579
recursion	0.0	0.001	0.0	0.001	0.002	-0.234	-0.238	-0.481	-0.48
rsa_dec	0.001	0.0	0.001	0.0	0.003	-0.145	-0.141	-0.295	-0.288
rsa_enc	0.002	0.002	0.0	0.0	0.003	-0.175	-0.162	-0.407	-0.403
sine	0.0	-0.001	-0.001	0.001	0.001	-0.257	-0.258	-0.561	-0.563
