group	16_no_PLL	16	26	30	60	90	120	150	170
FFT	-0.407	-0.403	-0.399	-0.405	-0.398	-0.395	-0.391	-0.381	-0.383
bubble_sort	-0.458	-0.461	-0.457	-0.458	-0.462	-0.451	-0.472	-0.442	-0.447
dijkstra	-0.33	-0.328	-0.328	-0.326	-0.322	-0.323	-0.324	-0.328	-0.314
kalman	-0.204	-0.204	-0.202	-0.201	-0.199	-0.382	-0.381	-0.54	-0.52
mat_mul	-0.378	-0.379	-0.377	-0.377	-0.367	-0.403	-0.398	-0.496	-0.5
pointer_chase	-0.2	-0.201	-0.199	-0.201	-0.2	-0.181	-0.18	-0.168	-0.166
recursion	-0.321	-0.321	-0.32	-0.319	-0.319	-0.322	-0.321	-0.319	-0.317
rsa_dec	-0.143	-0.143	-0.14	-0.144	-0.142	-0.14	-0.135	-0.152	-0.144
rsa_enc	-0.333	-0.33	-0.33	-0.331	-0.322	-0.329	-0.318	-0.317	-0.318
sine	-0.382	-0.383	-0.384	-0.381	-0.383	-0.366	-0.369	-0.353	-0.354
