group	16_no_PLL	16	26	30	60	90	120	150	170
FFT	-0.408	-0.406	-0.404	-0.403	-0.398	-0.393	-0.387	-0.388	-0.382
bubble_sort	-0.459	-0.459	-0.458	-0.461	-0.462	-0.458	-0.458	-0.462	-0.459
dijkstra	-0.331	-0.33	-0.329	-0.329	-0.327	-0.324	-0.323	-0.323	-0.321
kalman	-0.211	-0.204	-0.202	-0.202	-0.202	-0.383	-0.38	-0.544	-0.543
mat_mul	-0.381	-0.381	-0.378	-0.378	-0.376	-0.406	-0.403	-0.499	-0.501
pointer_chase	-0.2	-0.2	-0.201	-0.2	-0.201	-0.182	-0.182	-0.168	-0.167
recursion	-0.321	-0.321	-0.321	-0.321	-0.32	-0.321	-0.32	-0.319	-0.319
rsa_dec	-0.144	-0.143	-0.142	-0.142	-0.143	-0.14	-0.139	-0.144	-0.144
rsa_enc	-0.334	-0.333	-0.332	-0.331	-0.329	-0.326	-0.322	-0.323	-0.32
sine	-0.382	-0.382	-0.382	-0.381	-0.384	-0.367	-0.368	-0.355	-0.354
