unit	8_no_PLL	16	24	48	72
minI	4250.676049704766	8203.780439092425	12436.206825460007	24203.835940751873	35973.67175517638
maxI	4270.744713781314	8328.021632662876	12595.188470534336	24623.03883744856	36602.915069203314
avrgI	4258.052432063973	8277.154177917608	12513.677853672434	24450.41506469883	36272.28299755645
minD	1.465	0.73	0.486	0.243	0.162
maxD	1.467	0.732	0.487	0.244	0.163
avrgD	1.4662666666666666	0.730866666666667	0.4865000000000001	0.24333333333333335	0.16253333333333334
minE	18694.47326660156	17990.890502929688	18149.871826171875	17717.20790863037	17497.512817382812
maxE	18795.547485351562	18263.351440429688	18363.784790039062	17950.1953125	17798.263549804688
avrgE	18730.31768798828	18148.480224609375	18263.69228363037	17848.744106292725	17686.27882003784
