unit	8_no_PLL	16	24	48	72
minI	4908.7082255970345	9034.926339793943	13522.122075648907	24961.72524438116	34135.54966049706
maxI	4930.239590731534	9346.648724409786	13668.02894905822	25235.932448814656	34758.49740457215
avrgI	4915.6479725734325	9140.081468488434	13565.59735613293	25080.12743419027	34462.69823331091
minD	1.099	0.548	0.364	0.203	0.148
maxD	1.101	0.549	0.366	0.203	0.15
avrgD	1.0995666666666668	0.5483333333333335	0.3649666666666667	0.20300000000000004	0.14896666666666664
minE	16186.111450195312	14880.523681640627	14801.101684570314	15201.690673828125	15258.590698242186
maxE	16269.790649414064	15365.89050292969	14966.49169921875	15368.682861328125	15537.048339843748
avrgE	16215.24715423584	15035.395812988281	14852.96630859375	15273.797607421875	15401.344299316406
