group	16_no_PLL	16	26	30	60	90	120	150	170
FFT	0.089	0.076	0.079	0.079	0.085	0.084	0.08	0.081	0.077
bubble_sort	0.115	0.098	0.104	0.104	0.115	0.11	0.116	0.121	0.118
dijkstra	0.073	0.058	0.062	0.062	0.066	0.064	0.063	0.063	0.062
kalman	-0.027	-0.029	-0.038	-0.038	-0.036	0.046	0.048	0.097	0.099
mat_mul	0.066	0.048	0.053	0.053	0.058	0.078	0.079	0.109	0.108
pointer_chase	0.105	0.09	0.095	0.097	0.106	0.078	0.08	0.068	0.078
recursion	0.101	0.084	0.09	0.092	0.103	0.107	0.104	0.107	0.107
rsa_dec	0.004	-0.002	-0.005	-0.005	-0.007	-0.01	-0.01	-0.006	-0.007
rsa_enc	0.047	0.034	0.039	0.039	0.042	0.038	0.034	0.035	0.034
sine	0.084	0.068	0.074	0.075	0.083	0.077	0.077	0.072	0.072
