unit	8_no_PLL	16	24	48	72
minI	4254.212441153535	7916.112556528293	11871.59291216922	21968.19598858173	31025.91378348214
maxI	4282.168514290454	8063.648365162037	12041.819792936107	22345.316778753222	31534.318443682554
avrgI	4268.896740853567	8027.043774047192	11971.10198504118	22201.609565882085	31256.963469141676
minD	1.081	0.539	0.359	0.194	0.139
maxD	1.083	0.54	0.36	0.195	0.14
avrgD	1.08216	0.53974	0.35934	0.19446000000000002	0.13976
minE	13809.173583984377	12800.35400390625	12785.70556640625	12851.39465332031	13013.397216796875
maxE	13912.765502929686	13063.110351562502	12972.33581542969	13069.47326660156	13210.647583007812
avrgE	13858.888607025146	12997.554874420166	12905.07459640503	12951.941413879395	13105.315933227539
