U_gain	E_gain	16_RANGE2c	16_RANGE2f	26_RANGE2c	26_RANGE2f	16c	16f	26c	26f	30c	30f	60c	60f	90c	90f	120c	120f	150c	150f	170c	170f	150_BOOSTc	150_BOOSTf	170_BOOSTc	170_BOOSTf
-0.0017972337571454228	0.30860058736451734	0	0	0	0.265625	0	0	0	0	0	0	0	0	0	0	0	0	0.046875	0.1328125	0.0859375	0.4609375	0	0	0	0.0078125
-0.002124225685219349	0.19383128263081936	0	0	0	0.171875	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.0390625	0.140625	0.078125	0.5390625	0	0.0078125	0	0.0078125
-0.002056587328827781	0.1964924482469717	0	0.0078125	0	0.1796875	0	0	0	0	0	0	0	0	0	0.0078125	0	0.0078125	0.0390625	0.21875	0.109375	0.4296875	0	0	0	0
-0.0019503111646188584	0.2565089484468769	0	0.0078125	0	0.21875	0	0	0	0	0	0	0	0	0	0	0	0.0078125	0.0234375	0.109375	0.09375	0.53125	0	0	0	0.0078125
-0.002440652161797992	0.24068940379253398	0	0	0	0.21875	0	0	0	0	0	0	0	0	0	0	0	0	0.046875	0.0703125	0.125	0.5390625	0	0	0	0
-0.0019709839011200986	0.35142672166910693	0	0	0	0.328125	0	0	0	0	0	0	0	0	0	0	0	0	0.0234375	0.1484375	0.1171875	0.3828125	0	0	0	0
-0.00202463167331163	0.3007265335909366	0	0	0	0.3046875	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.0390625	0.1640625	0.078125	0.3984375	0	0	0	0
-0.002004438205728026	0.24060368495747092	0	0	0	0.203125	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.109375	0.1484375	0.5	0	0	0	0.0078125
-0.0017963469825518147	0.30444012061433007	0	0	0	0.2109375	0	0	0	0	0	0	0	0	0	0	0	0.0078125	0.0234375	0.140625	0.1484375	0.4609375	0	0	0	0.0078125
-0.0016415440626271188	0.25232967337221385	0	0	0	0.203125	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.03125	0.1484375	0.125	0.4765625	0	0	0	0
-0.0019185280234587066	0.23453198389473917	0	0	0	0.203125	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1484375	0.1640625	0.484375	0	0	0	0
-0.0016257171866656977	0.2756731766288633	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.1640625	0.109375	0.453125	0	0	0	0.0078125
-0.0019743565467718336	0.2753676503990899	0	0	0	0.1875	0	0	0	0	0	0	0	0	0	0.0078125	0	0.015625	0.0234375	0.171875	0.109375	0.484375	0	0	0	0
-0.001918500813086138	0.3663810540142744	0	0	0	0.296875	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.0390625	0.140625	0.0703125	0.4140625	0	0	0	0.0078125
-0.0018503876567109371	0.24965842317780193	0	0	0	0.2578125	0	0	0	0	0	0	0	0	0	0	0	0.0078125	0.015625	0.1484375	0.1171875	0.453125	0	0	0	0
-0.002044710856984941	0.2344851738154007	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.0234375	0.0390625	0.1640625	0.5078125	0	0.015625	0	0
-0.0025478529067702936	0.3102529850947936	0	0	0	0.3125	0	0	0	0	0	0	0	0	0	0	0	0.0078125	0.046875	0.1328125	0.1171875	0.3828125	0	0	0	0
-0.0017912101998353543	0.1827985408655208	0	0	0	0.2578125	0	0	0	0	0	0	0	0	0	0.0078125	0	0.0078125	0.0390625	0.140625	0.125	0.421875	0	0	0	0
-0.002262857721036007	0.21438147319216153	0	0	0	0.171875	0	0.0078125	0	0	0	0	0	0	0	0	0	0.015625	0.03125	0.140625	0.1484375	0.484375	0	0	0	0
-0.001754267381345916	0.31239419377589345	0	0	0	0.2734375	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.0546875	0.1484375	0.1171875	0.390625	0	0	0	0
-0.0017180417440890534	0.21375303654799133	0	0	0	0.1875	0	0	0	0	0	0	0	0	0	0	0	0.0078125	0.0234375	0.140625	0.09375	0.5390625	0	0	0	0.0078125
-0.001987711231598482	0.34850168760066275	0	0.0078125	0	0.265625	0	0	0	0	0	0	0	0	0	0	0	0.0078125	0.0546875	0.140625	0.109375	0.4140625	0	0	0	0
-0.0021822611846599644	0.27847655329609416	0	0	0	0.2265625	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.0546875	0.1640625	0.1015625	0.4375	0	0	0	0
-0.0016519664876456922	0.40126230250450484	0	0	0	0.4296875	0	0	0	0	0	0	0	0	0	0	0	0	0.046875	0.1171875	0.1171875	0.2890625	0	0	0	0
-0.0019792634428071857	0.292282984540591	0	0	0	0.21875	0	0	0	0	0	0	0	0	0	0	0	0	0.0234375	0.140625	0.140625	0.46875	0	0	0	0.0078125
