U_gain	E_gain	16_RANGE2c	16_RANGE2f	26_RANGE2c	26_RANGE2f	16c	16f	26c	26f	30c	30f	60c	60f	90c	90f	120c	120f	150c	150f	170c	170f	150_BOOSTc	150_BOOSTf	170_BOOSTc	170_BOOSTf
0.008094490888786788	0.20180138229957292	0	0	0.125	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.375	0	0	0	0	0
0.048152750942840813	0.2057229522479562	0	0	0.125	0.5	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0.25	0	0	0	0	0
0.06585822817064244	0.11928723808196424	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.625	0	0	0	0	0
0.2321027233808482	0.4943172942171039	0	0	0.25	0.375	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0	0.125	0	0	0	0	0
0.0004834179314713986	0.09193896651315149	0	0	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0	0.25	0.125	0	0	0	0
0.15179442336122412	0.16909589475692194	0	0	0.25	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625	0	0	0	0	0
0.01965892787580691	0.16470535714098883	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.625	0	0	0	0	0
0.0033715623909886983	0.2823225716095948	0	0	0.125	0.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
0.012036963904904968	0.17340410244477486	0	0	0.25	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625	0	0	0	0	0
0.030394449409677612	0.2578733711251285	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0
0.03539715544115776	0.1433715391924629	0	0	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0	0.5	0	0	0	0	0
0.212078934954837	0.3733737976765472	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.375	0	0	0	0	0
0.028101513602923917	0.22784833853430903	0	0	0.25	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625	0	0	0	0	0
0.22457186437777318	0.26131463259212384	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.625	0	0	0	0	0
0.0009092304932041386	0.398864677667423	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0
0.013301214677187692	0.3412576778731482	0	0	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0	0.375	0	0	0	0	0
0.00739146776765007	0.3136538008782757	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0
0.002692614509042741	0.4710769092161516	0	0	0.125	0.375	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.375	0	0	0	0	0
0.022271536827910714	0.08967477982894735	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.625	0	0	0	0	0
0.009148574957557599	0.29725005542615796	0	0	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0
0.04167484983481322	0.1932444643372171	0	0	0.125	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.5	0	0	0	0	0
0.22213848287831167	0.2514126427310922	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.5	0	0	0	0	0
0.10198627352690556	0.2670795955741429	0	0	0.125	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0	0.25	0	0	0	0	0
0.12892746599968113	0.35580731579330444	0	0	0.375	0.25	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0.25	0	0	0	0	0
0.024221279300472333	0.2726524924326417	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
0.009409391889920857	0.17945668558042244	0	0	0.375	0.125	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0	0.25	0	0	0	0	0
0.04940117586073307	0.16366497871600674	0	0	0.25	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.5	0	0	0	0	0
0.29197922031660045	0.36054690802281464	0	0	0.125	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625	0	0	0	0	0
0.006172732938962574	0.40063549359657363	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.625	0	0	0	0	0
0.009858028514942812	0.12614259432560657	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.75	0	0	0	0	0
