unit	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
minI	2005.0456057336728	2353.4642312879114	3517.8494750263935	2800.3525574193077	4184.686286108835	4747.819471460784	8160.425559761598	11880.917089199686	15620.758190636578	19371.428906815334	21857.19396089564	20878.829746743453	23553.538636887508
maxI	2008.5108784350764	2355.7889027250553	3521.03572434226	2803.9494432374345	4189.040607207587	4750.88598144615	8165.9182404876	11892.946654444053	15630.175743573978	19390.340201561798	21870.90119495584	20896.371096780855	23573.817258299834
avrgI	2006.7596923089463	2354.8187208544887	3519.394481258248	2802.215166143225	4187.4186469231345	4749.626023464588	8162.442110698719	11887.174052584396	15625.618208897535	19380.68297511489	21863.4105227636	20885.45161754193	23561.083536920174
minD	0.5453	0.54542	0.33544	0.54548	0.33576	0.29094	0.14544	0.09696	0.0727	0.05824	0.05142	0.05826	0.05142
maxD	0.54604	0.546	0.33606	0.54626	0.33638	0.29148	0.14596	0.09726	0.07302	0.05848	0.05168	0.0585	0.05168
avrgD	0.5455946666666666	0.5457420000000001	0.33577466666666667	0.545824	0.33601533333333333	0.291192	0.14563399999999999	0.09708	0.072838	0.05835066666666667	0.051536666666666675	0.05835866666666666	0.05152333333333333
minE	1093.839511871338	1283.6264610290527	1180.6084251403809	1833.5157165527341	1687.2655105590823	1658.1586761474607	1424.5981521606445	1383.1320419311523	1363.4850769042969	1354.5467147827146	1349.232032775879	1557.6512207031249	1550.4721191406252
maxE	1096.4173889160156	1285.614891052246	1182.611713409424	1837.0351181030271	1690.4460525512698	1661.4703216552734	1429.7512435913086	1386.915916442871	1369.1589889526367	1360.2885360717771	1355.743927001953	1563.857177734375	1558.110595703125
avrgE	1094.8773854573567	1285.1234703063965	1181.7234846750896	1835.419556427002	1688.4442138671875	1659.6636978149413	1426.474949645996	1384.808226776123	1365.7665351867677	1357.050902557373	1352.120652770996	1560.1243717447915	1553.8502734374997
