unit	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
minI	2045.9169721872793	2392.153859234703	3557.6378972775933	2852.496747332749	4267.0856822620735	4833.391326630187	8263.488610585531	11888.44128658897	15438.91774436642	18741.046283261996	20916.127783107007	20161.290540762828	22474.0711722787
maxI	2050.077010048418	2397.384182099373	3566.8801389848595	2857.452054177561	4277.9028571305635	4842.165548517333	8315.203083095266	12004.417655742274	15639.909478121026	19058.01636832101	21293.95294189453	20500.762122017997	22954.95617774225
avrgI	2048.254980490712	2395.318102593145	3562.76007317241	2854.9290880065837	4272.203239399456	4838.041534590251	8283.903716684239	11943.866053063408	15514.685248553347	18861.950011522775	21098.37338203213	20275.48429476086	22677.12065192104
minD	0.02468	0.02476	0.01528	0.02474	0.01526	0.01324	0.00666	0.0045	0.00342	0.00278	0.00246	0.00278	0.00248
maxD	0.02486	0.02492	0.0154	0.02494	0.01542	0.0134	0.00678	0.0046	0.0035	0.00286	0.00254	0.00286	0.00256
avrgD	0.024744600000000002	0.0248112	0.015336800000000001	0.024816	0.0153304	0.013314600000000003	0.0067274	0.0045504000000000005	0.0034556000000000005	0.0028248	0.0025185999999999997	0.0028278	0.0025198
minE	50.54332733154297	59.266281127929695	54.427337646484375	84.74848937988281	78.24591064453125	76.90200805664062	66.20331573486328	64.41934204101561	63.69026184082031	63.15234374999999	62.34956359863281	71.91953124999999	71.78098144531249
maxE	50.90322494506836	59.68433380126954	54.9162483215332	85.44561767578125	79.05308532714844	77.80377960205078	67.39297485351561	65.77709197998047	65.09928131103516	64.63655090332031	64.36354064941406	74.1484130859375	73.9679931640625
avrgE	50.683247566223145	59.43071231842041	54.641336631774905	85.01749671936035	78.59348007202148	77.2998875427246	66.8748550415039	65.2189345550537	64.33467796325684	63.936955490112304	63.76519844055176	73.38794311523436	73.14032006835937
