	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
intensity	3602.010640540149	4315.905077615862	4341.22221236234	6667.151556892955	7556.459265280153	13602.826005897437	14866.07344753771	19431.520598780535	21566.937210606247	24291.71326699065	23275.117712006133	26183.241318356817
runtime	0.30292	0.29826	0.30368	0.18662	0.1617	0.08082	0.08632	0.06472	0.06474	0.0571	0.0647	0.05724
timestamp	(2535.72, 2838.64)	(4956.98, 5255.24)	(7544.52, 7848.2)	(9908.16, 10094.78)	(11847.2, 12008.9)	(13469.5, 13550.32)	(14784.6, 14870.92)	(16038.86, 16103.58)	(17220.62, 17285.36)	(18389.86, 18446.96)	(19551.98, 19616.68)	(20720.58, 20777.82)
energy	1091.1210632324219	1287.261848449707	1582.0108337402344	1493.068588256836	1466.255355834961	1319.256477355957	1539.887351989746	1509.1296157836914	1675.4922180175784	1664.4681930541992	1927.5521484374997	1918.3727783203126
