	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
intensity	2820.5857113357583	4243.482684128694	3309.4346487897233	5015.016061590877	5695.653368226681	10018.018203293122	14634.147595934768	19270.721631558987	23946.454959549927	27010.186114238062	25703.29225254884	29005.36810694586
runtime	0.3032	0.18668	0.30318	0.1868	0.16188	0.08074	0.05392	0.04048	0.03248	0.02868	0.03236	0.02866
timestamp	(1624.44, 1927.64)	(4339.54, 4526.22)	(6504.02, 6807.2)	(9217.4, 9404.2)	(11231.02, 11392.9)	(13096.4, 13177.14)	(14475.66, 14529.58)	(15737.18, 15777.66)	(16906.98, 16939.46)	(18041.72, 18070.4)	(19148.38, 19180.74)	(20281.78, 20310.44)
energy	855.201587677002	792.1733474731446	1204.0252761840818	1124.166000366211	1106.414840698242	970.6257476806641	946.8878860473632	936.0945739746094	933.3370285034181	929.5825653076172	1064.650927734375	1064.0561279296876
