group	16	26	30	60	90	120	150	170
FFT	0.0	0.004	0.0	-0.004	0.0	0.0	-0.019	-0.021
bubble_sort	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dijkstra	0.0	0.0	0.0	0.0	0.0	-0.004	0.0	0.006
kalman	0.006	0.008	0.008	0.01	0.043	0.047	0.051	0.064
mat_mul	-0.001	0.0	0.0	0.003	0.0	0.0	0.0	-0.009
pointer_chase	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.001	0.002
recursion	0.001	0.0	-0.0	0.001	0.001	-0.001	0.0	0.002
rsa_dec	0.002	0.0	0.0	0.003	0.0	0.0	-0.008	0.0
rsa_enc	0.001	0.003	0.0	0.003	-0.004	0.0	0.0	-0.008
sine	-0.0	-0.001	0.0	0.001	0.0	0.0	0.002	0.001
